budget,popularity,runtime,revenue,genre_Drama,genre_Comedy,genre_Thriller,genre_Action,genre_Romance,genre_length,original_language_en,comp_Warner Bros.,comp_Universal Pictures,comp_Paramount Pictures,comp_Twentieth Century Fox Film Corporation,comp_Columbia Pictures,comp_Metro-Goldwyn-Mayer (MGM),comp_New Line Cinema,comp_Touchstone Pictures,comp_Walt Disney Pictures,comp_Columbia Pictures Corporation,comp_TriStar Pictures,comp_Relativity Media,comp_Canal+,comp_United Artists,comp_Miramax Films,comp_Village Roadshow Pictures,comp_Regency Enterprises,comp_ The,comp_BBC Films,comp_Dune Entertainment,comp_Working Title Films,comp_Fox Searchlight Pictures,comp_StudioCanal,comp_Lionsgate,comp_DreamWorks SKG,comp_Fox 2000 Pictures,comp_Summit Entertainment,comp_Hollywood Pictures,comp_Orion Pictures,comp_Amblin Entertainment,comp_length,country_United States of America,country_United Kingdom,country_France,country_Germany,country_Canada,country_India,country_Italy,country_Australia,country_Japan,country_Spain,country_length,num_spoken,spoken_en,genders_cast_0,genders_cast_1,genders_cast_2,num_cast,genders_crew_0,genders_crew_1,genders_crew_2,num_crew,release_day,release_month,release_year,release_quarter,release_dayofweek
14000000,6.575392999999999,93.0,12314651,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,1,6,8,10,24,59,0,13,72,20,2,2015,1,4
40000000,8.248895,113.0,95149435,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,10,10,20,1,4,4,9,6,8,2004,3,4
3300000,64.29999000000001,105.0,13092000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,1,31,7,13,51,49,4,11,64,10,10,2014,4,4
14000000,7.286477,92.0,85446075,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,1,1,4,3,7,14,60,6,11,77,30,8,2012,3,3
6000000,4.672036,91.0,18750246,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,5,13,20,3,4,4,11,16,4,2003,2,2
1000000,14.774066,119.0,117235147,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,13,4,20,37,12,2,17,31,21,11,1976,4,6
15000000,20.726578,122.0,356296601,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,3,22,15,40,66,15,28,109,15,9,1999,3,2
53000000,13.314232999999998,118.0,95226116,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,2,1,3,18,38,59,2,3,13,18,4,3,2005,1,4
102000000,20.666063,145.0,358372926,0,0,1,1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,1,2,1,0,8,15,23,109,9,38,156,20,6,2002,2,3
500000,1.018477,97.0,198,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,9,0,4,13,24,0,1,25,6,10,2010,4,2
26000000,6.336926999999998,85.0,57891803,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,1,6,10,8,24,16,10,9,35,4,8,2005,3,3
8000000,6.4962589999999985,96.0,1749457,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,3,2,1,10,7,6,23,0,0,2,2,2,2,2011,1,2
32000000,11.359659,87.0,85167639,0,0,1,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,3,1,2,2,6,10,8,0,9,17,2,8,2005,3,1
80000000,12.000579,130.0,136159423,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,1,1,2,6,12,20,90,5,25,120,3,4,1998,2,4
4000000,7.99229,95.0,36690067,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,10,3,3,16,2,1,8,11,13,8,1982,3,4
10000000,4.3057349999999985,110.0,13835130,1,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2,4,6,2,8,8,18,8,9,1997,3,0
11000000,10.841891,93.0,7847000,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,1,1,6,11,7,24,10,2,3,15,7,9,2013,3,5
6000000,6.759181,84.0,5849647,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,2,1,5,1,27,33,15,0,3,18,8,8,1986,3,4
45000000,7.81862,89.0,94935764,0,0,1,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,4,6,11,2,1,5,8,7,4,2002,2,6
13000000,16.086919,112.0,426480871,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,1,2,1,7,9,16,32,30,0,4,34,2,11,2011,4,2
90000000,13.412445000000002,106.0,146936910,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,1,1,6,9,7,22,68,6,18,92,21,10,2015,4,2
140000000,9.718111,91.0,258022233,0,1,1,1,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5,1,5,5,8,18,3,2,13,18,8,8,2007,3,2
30000000,8.234382,94.0,40346186,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,3,1,3,1,11,15,16,3,15,34,16,4,2012,2,0
50000000,13.676444,127.0,189859560,1,0,1,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,3,1,0,2,12,14,0,2,11,13,10,3,1995,1,4
25000000,2.9719990000000003,108.0,24362772,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,2,1,1,5,5,11,1,4,7,12,3,3,2000,1,4
6000000,9.383088,92.0,1020921,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,1,4,20,8,32,5,1,6,12,5,9,2014,3,4
15000000,5.615303,88.0,47175038,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,1,2,4,4,10,4,5,3,12,4,2,2005,1,4
3906840,2.382068,95.0,4300000,1,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,2,0,9,2,4,15,7,0,0,7,9,10,2009,4,4
80000000,16.646029000000002,91.0,660940780,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,17,7,18,42,7,0,3,10,23,3,2006,1,3
44000000,20.328822,167.0,155760117,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,1,5,4,9,18,52,8,17,77,25,12,2015,4,4
38000000,8.105708,118.0,120000000,0,0,1,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,4,12,17,3,1,11,15,17,11,1994,4,3
20000000,8.759801,107.0,46069568,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,1,1,19,1,10,30,15,0,6,21,19,2,2016,1,4
